index,상가업소번호,가게명,키워드,갯수
55,MA010120220809708157,테디스오븐,맛있는 디저트,14
56,MA010120220809708157,테디스오븐,좋은 분위기,10
57,MA010120220809708157,테디스오븐,맛있는 커피,8
58,MA010120220809708157,테디스오븐,예쁜인테리어,7
59,MA010120220806478840,데우스 카페 성수점,좋은 분위기,30
60,MA010120220806478840,데우스 카페 성수점,맛있는 커피,7
61,MA010120220806478840,데우스 카페 성수점,맛있다 분위기,7
62,MA010120220806478840,데우스 카페 성수점,맛있는 음료,6
63,MA010120220806478840,데우스 카페 성수점,데 우스,5
64,MA010120220806478840,데우스 카페 성수점,친절한 직원,5
65,MA0101202209A0093907,신사소곱창 성수점,좋은 분위기,11
66,MA0101202209A0093907,신사소곱창 성수점,맛있게 먹다,10
67,MA0101202209A0093907,신사소곱창 성수점,기분 좋다,7
68,MA0101202209A0093907,신사소곱창 성수점,확장 이전,7
69,MA0101202209A0093907,신사소곱창 성수점,곱창 맛있다,6
70,MA0101202209A0093907,신사소곱창 성수점,밝다 친절하다,6
71,MA010120220812264577,보마켓 서울숲점,구경 재미,6
72,MA010120220812264577,보마켓 서울숲점,맛있는 음식,6
73,MA010120220812264577,보마켓 서울숲점,구경 좋다,5
74,MA010120220812264577,보마켓 서울숲점,보 마켓,4
75,MA010120220812264577,보마켓 서울숲점,아기자기하다 소품,4
76,MA010120220812264577,보마켓 서울숲점,좋은 분위기,4
77,MA010120220812264577,보마켓 서울숲점,떡볶이 맛있다,3
78,MA010120220812264577,보마켓 서울숲점,많다 구경,3
79,MA010120220808602063,보끔당 성수점,맛있게 먹다,12
80,MA010120220808602063,보끔당 성수점,보 끄다,7
81,MA010120220808602063,보끔당 성수점,많은 양,6
82,MA010120220808602063,보끔당 성수점,1 단계,6
83,MA010120220808602063,보끔당 성수점,매콤 맛있다,5
84,MA010120220808602063,보끔당 성수점,친절한 직원,5
85,MA010120220807766997,메종 파이프그라운드,옥수수 피자,47
86,MA010120220807766997,메종 파이프그라운드,맛있는 음식,8
87,MA010120220807766997,메종 파이프그라운드,넓은 매장,7
88,MA010120220807766997,메종 파이프그라운드,맛있다 옥수수 피자,7
89,MA010120220807766997,메종 파이프그라운드,옥수수 피자,7
90,MA010120220807766997,메종 파이프그라운드,화이트 라,6
91,MA010120220807766997,메종 파이프그라운드,라 파스타,5
92,MA010120220807766997,메종 파이프그라운드,친절한 직원,5
93,MA010120220807766997,메종 파이프그라운드,피자 맛있다,5
94,MA010120220807766997,메종 파이프그라운드,가지 라자냐,5
95,MA010120220807766997,메종 파이프그라운드,가지 라자냐,4
96,MA010120220805705118,모모야 성수점,맛있는 음식,9
97,MA010120220805705118,모모야 성수점,맛있게 먹다,5
98,MA010120220805705118,모모야 성수점,좋다 맛있다,4
99,MA010120220805705118,모모야 성수점,친절한 직원,4
100,MA010120220805705118,모모야 성수점,김치 베,4
101,MA010120220805705118,모모야 성수점,깨끗하다 좋다,3
102,MA010120220805705118,모모야 성수점,맛있는 돈까스,3
103,MA010120220805705118,모모야 성수점,매장 깔끔하다,3
104,MA010120220805705118,모모야 성수점,매장 깨끗하다,3
105,MA010120220805705118,모모야 성수점,먹기 좋다,3
106,MA010120220808452117,퍼먼트,빵 맛있다,17
107,MA010120220808452117,퍼먼트,맛있는 커피,10
108,MA010120220808452117,퍼먼트,무화과 크림 치즈,4
109,MA010120220808452117,퍼먼트,크림 치즈,4
110,MA010120220808452117,퍼먼트,토마토 바질,4
112,MA010120220808452117,퍼먼트,맛있다 빵,3
113,MA010120220808452117,퍼먼트,손님 많다,3
114,MA010120220803146742,카멜커피 7호점,카멜 커피,23
115,MA010120220803146742,카멜커피 7호점,맛있는 커피,12
116,MA010120220803146742,카멜커피 7호점,사람 많다,4
117,MA010120220803146742,카멜커피 7호점,카멜 맛있는 커피,4
118,MA010120220803146742,카멜커피 7호점,퀸 망,4
119,MA010120220805466594,타이거풀,타이거 풀,23
120,MA010120220805466594,타이거풀,좋은 분위기,15
121,MA010120220805466594,타이거풀,황금 스테이크,14
122,MA010120220805466594,타이거풀,친구이랑,9
123,MA010120220805466594,타이거풀,맛있는 음식,8
124,MA010120220805466594,타이거풀,맛있게 먹다,7
125,MA010120220805466594,타이거풀,친절한 직원,7
126,MA010120220810057496,미도인 성수,마제 소바,7
127,MA010120220810057496,미도인 성수,스테이크 덮밥,7
129,MA010120220810057496,미도인 성수,맛있게 먹다,6
130,MA010120220810057496,미도인 성수,덮밥,5
131,MA010120220810057496,미도인 성수,미도인,5
132,MA010120220810057496,미도인 성수,맛있는 음식,4
133,MA010120220810057496,미도인 성수,생각 보다,4
134,MA010120220810057496,미도인 성수,예쁜인테리어,4
135,MA010120220803219660,두 투리에,빵 맛있다,10
136,MA010120220803219660,두 투리에,데니 쉬,9
137,MA010120220803219660,두 투리에,마리 토쪼,9
138,MA010120220803219660,두 투리에,신라 호텔,9
139,MA010120220803219660,두 투리에,친절한 사장님,7
140,MA010120220803219660,두 투리에,기분 좋다,6
141,MA010120220805022129,권식족발 성수본점,성수동 맛집,33
142,MA010120220805022129,권식족발 성수본점,성수동 족발,31
143,MA010120220805022129,권식족발 성수본점,성수역 맛집,29
144,MA010120220805022129,권식족발 성수본점,성 수 핫 플,25
