상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율
MA010120220805026887,카린지_린가네 스낵바,카페,4.2,0.37,13.42,59,2042,서울특별시 성동구 왕십리로4길 10-3,성수1가제1동,37.545751,127.045969,91.9
MA010120220803305872,마리오네,서양식,4.8,-0.02,5.88,21,813,서울특별시 성동구 성수이로12길 15,성수2가제1동,37.53974,127.056908,94.1
MA010120220803799415,성수족발,한식,4.0,-0.4,0.0,295,3290,서울특별시 성동구 성수동2가 289-273,성수2가제3동,37.546022,127.054214,66.7
MA010120220803146742,카멜커피 7호점,카페,4.2,-0.31,9.2,63,0,서울특별시 성동구 서울숲7길 4,성수1가제2동,37.548382,127.042659,96.4
MA010120220812594063,대림창고,카페,3.7,0.0,0.0,476,0,서울특별시 성동구 성수이로 78,성수2가제1동,37.541953,127.056537,0.0
MA010120220810585187,소녀방앗간,카페,3.9,0.0,0.0,236,0,서울특별시 성동구 왕십리로5길 9-16,성수1가제2동,37.546595,127.044061,0.0
MA010120220812810330,유가츠,일식,4.2,-0.39,12.5,27,561,서울특별시 성동구 서울숲4길 12-7,성수1가제2동,37.547271,127.042235,100.0
MA010120220809698130,어메이징브루잉컴퍼니,주점,4.1,-0.29,4.17,212,4240,서울특별시 성동구 성수일로4길 4,성수1가제1동,37.542853,127.049366,96.0
MA010120220803774227,강남면옥 성수점,한식,4.1,-0.22,24.29,55,0,서울특별시 성동구 성수일로 77,성수1가제2동,37.547405,127.050344,98.4
MA010120220811865429,쿠나,일식,4.4,-0.22,4.04,19,4932,서울특별시 성동구 연무장5길 9-16,성수2가제3동,37.54444,127.05266,92.3
MA010120220803090711,온센 성수점,일식,4.4,0.33,25.0,7,0,서울특별시 성동구 왕십리로14길 12-1,성수1가제2동,37.548989,127.045125,96.9
MA010120220803127205,차만다서울숲점,서양식,4.4,0.5,0.0,40,1922,서울특별시 성동구 서울숲2길 28-12,성수1가제2동,37.546618,127.041402,100.0
MA010120220812304628,이태리차차,서양식,4.1,-0.07,7.69,16,154,서울특별시 성동구 연무장길 14-5,성수1가제1동,37.5435,127.051039,100.0
MA010120220808562367,쎈느Scene,카페,4.2,-0.34,1.41,29,0,서울특별시 성동구 연무장5길 20,성수2가제3동,37.544796,127.053343,97.0
MA010120220803730359,대성갈비,한식,3.5,-0.11,32.59,482,0,서울특별시 성동구 서울숲4길 27,성수1가제2동,37.547032,127.043903,93.5
MA010120220811756803,호호식당,한식,4.0,1.0,0.0,46,0,서울특별시 성동구 서울숲4길 25,성수1가제2동,37.547181,127.043866,100.0
MA010120220808072479,몽련,한식,4.4,0.0,0.0,12,0,서울특별시 성동구 왕십리로10길 3,성수1가제2동,37.547143,127.045032,0.0
MA010120220803277142,멘야코노하 성수,일식,4.0,0.06,18.35,14,193,서울특별시 성동구 왕십리로4길 10-1,성수1가제1동,37.545638,127.045868,100.0
MA010120220810598548,할아버지공장,서양식,3.7,1.0,0.0,26,0,서울특별시 성동구 성수이로7가길 9,성수2가제1동,37.54109,127.054946,50.0
MA010120220810408707,메가MGC커피 서울숲역점,카페,4.7,-0.32,35.71,3,0,서울특별시 성동구 왕십리로 94-1,성수1가제1동,37.545999,127.044945,88.9
MA010120220811796761,메쉬커피,카페,4.0,-0.38,0.0,23,629,서울특별시 성동구 서울숲길 43,성수1가제2동,37.548108,127.042447,80.0
MA010120220803005066,블루보틀성수점,카페,3.6,1.0,0.0,29,0,서울특별시 성동구 아차산로 7,성수1가제2동,37.548103,127.045639,100.0
MA010120220802919553,대낚식당,한식,4.2,0.45,10.0,12,0,서울특별시 성동구 성수이로7가길 15,성수2가제1동,37.541565,127.05519,91.7
MA010120220800766764,가조쿠,일식,4.3,0.07,11.48,23,1602,서울특별시 성동구 연무장길 31-2,성수2가제3동,37.543227,127.053117,95.0
2201,하노이102,동남아시아,4.3,0.82,6.35,87,2805,서울특별시 성동구 서울숲6길 18,성수1가제2동,37.547387,127.043549,98.4
2204,르프리크,패스트푸드,4.4,0.13,4.12,105,1927,서울특별시 성동구 연무장5길 9-16,성수2가제3동,37.54444,127.05266,97.9
2205,제스티살룬성수,패스트푸드,4.2,0.0,0.0,91,1863,서울특별시 성동구 서울숲4길 13,성수1가제2동,37.547576,127.042454,100.0
2206,빠오즈푸 서울숲직영점,중식,4.2,-0.23,3.92,19,1548,서울특별시 성동구 왕십리로6길 13,성수1가제2동,37.545961,127.046202,100.0
2207,원기옥,한식,4.3,0.13,9.3,6,558,서울특별시 성동구 아차산로17길 48,성수2가제3동,37.546394,127.06589,95.3
2210,센터커피,카페,4.0,0.0,0.0,52,4296,서울특별시 성동구 서울숲2길 28-11,성수1가제2동,37.546563,127.041619,100.0
2222,소년식당,일식,4.0,-0.29,8.57,24,374,서울특별시 성동구 서울숲6길 17,성수1가제2동,37.547552,127.043551,100.0
2224,멜로워,카페,4.0,3.0,0.0,107,1188,서울특별시 성동구 성수이로7길 39,성수2가제1동,37.542535,127.053234,75.0
2233,코끼리베이글성수,카페,4.8,3.0,0.0,5,0,서울특별시 성동구 성수이로26길 17,성수2가제3동,37.546046,127.059533,100.0
2235,천상가옥,카페,4.2,-0.06,8.64,21,0,서울특별시 성동구 성수이로14길 14,성수2가제1동,37.541408,127.056909,100.0
2236,글로우,카페,4.4,0.25,5.88,72,0,서울특별시 성동구 아차산로9길 20,성수2가제3동,37.545961,127.05864,98.0
2238,체다앤올리,카페,4.4,-0.53,3.45,30,0,서울특별시 성동구 서울숲2길 32-14,성수1가제1동,37.54592,127.041991,92.6
2239,곳온니플레이스 성수낙낙,카페,4.3,-0.14,33.33,4,0,서울특별시 성동구 아차산로17길 48,성수2가제3동,37.546394,127.06589,94.4
2240,죽변항,한식,4.5,0.25,6.67,77,0,서울특별시 성동구 상원길 40,성수1가제2동,37.547528,127.048835,100.0
